?baseClass	?baseLabel	?equivalentClass	?equivalentLabel
<http://purl.obolibrary.org/obo/HP_0000327>	"Hypoplasia of the maxilla"	<http://purl.obolibrary.org/obo/MP_0000457>	"maxilla hypoplasia"
<http://purl.obolibrary.org/obo/HP_0008873>	"Disproportionate short-limb short stature"	<http://purl.obolibrary.org/obo/HP_0009826>	"Limb undergrowth"
<http://purl.obolibrary.org/obo/HP_0001750>	"Single ventricle"	<http://purl.obolibrary.org/obo/MP_0010432>	"common ventricle"
<http://purl.obolibrary.org/obo/HP_0000107>	"Renal cyst"	<http://purl.obolibrary.org/obo/MP_0003675>	"kidney cysts"
<http://purl.obolibrary.org/obo/HP_0010975>	"Abnormality of B cell number"	<http://purl.obolibrary.org/obo/MP_0002458>	"abnormal B cell number"
<http://purl.obolibrary.org/obo/HP_0000518>	"Cataract"	<http://purl.obolibrary.org/obo/MP_0001304>	"cataract"
<http://purl.obolibrary.org/obo/HP_0002045>	"Hypothermia"	<http://purl.obolibrary.org/obo/MP_0005534>	"decreased body temperature"
<http://purl.obolibrary.org/obo/HP_0001879>	"Abnormality of eosinophils"	<http://purl.obolibrary.org/obo/MP_0002443>	"abnormal eosinophil differentiation"
<http://purl.obolibrary.org/obo/HP_0000121>	"Nephrocalcinosis"	<http://purl.obolibrary.org/obo/MP_0003197>	"nephrocalcinosis"
<http://purl.obolibrary.org/obo/HP_0001942>	"Metabolic acidosis"	<http://purl.obolibrary.org/obo/MP_0012551>	"metabolic acidosis"
<http://purl.obolibrary.org/obo/HP_0000978>	"Bruising susceptibility"	<http://purl.obolibrary.org/obo/MP_0009275>	"bruising"
<http://purl.obolibrary.org/obo/HP_3000079>	"Abnormality of mandibular symphysis"	<http://purl.obolibrary.org/obo/MP_0001649>	"abnormal symphysis menti morphology"
<http://purl.obolibrary.org/obo/HP_0012379>	"Abnormal enzyme/coenzyme activity"	<http://purl.obolibrary.org/obo/MP_0005584>	"abnormal enzyme/coenzyme activity"
<http://purl.obolibrary.org/obo/HP_0010627>	"Anterior pituitary hypoplasia"	<http://purl.obolibrary.org/obo/MP_0002659>	"pituitary gland hypoplasia"
<http://purl.obolibrary.org/obo/HP_0001873>	"Thrombocytopenia"	<http://purl.obolibrary.org/obo/MP_0003179>	"thrombocytopenia"
<http://purl.obolibrary.org/obo/HP_0100562>	"Diplomyelia"	<http://purl.obolibrary.org/obo/MP_0012711>	"diplomyelia"
<http://purl.obolibrary.org/obo/HP_0001408>	"Bile duct proliferation"	<http://purl.obolibrary.org/obo/MP_0003255>	"bile duct proliferation"
<http://purl.obolibrary.org/obo/HP_0000739>	"Anxiety"	<http://purl.obolibrary.org/obo/MP_0001362>	"abnormal anxiety-related response"
<http://purl.obolibrary.org/obo/HP_0008417>	"Vertebral hypoplasia"	<http://purl.obolibrary.org/obo/MP_0004610>	"small vertebrae"
<http://purl.obolibrary.org/obo/HP_0008479>	"Hypoplastic vertebral bodies"	<http://purl.obolibrary.org/obo/MP_0004610>	"small vertebrae"
<http://purl.obolibrary.org/obo/HP_0005506>	"Chronic myelogenous leukemia"	<http://purl.obolibrary.org/obo/MP_0005481>	"increased chronic myelocytic leukemia incidence"
<http://purl.obolibrary.org/obo/HP_0011500>	"Polycoria"	<http://purl.obolibrary.org/obo/MP_0006235>	"polycoria"
<http://purl.obolibrary.org/obo/HP_0002647>	"Aortic dissection"	<http://purl.obolibrary.org/obo/MP_0004044>	"aortic dissection"
<http://purl.obolibrary.org/obo/HP_0000248>	"Brachycephaly"	<http://purl.obolibrary.org/obo/MP_0000435>	"shortened head"
<http://purl.obolibrary.org/obo/HP_0003363>	"Abdominal situs inversus"	<http://purl.obolibrary.org/obo/MP_0002766>	"situs inversus"
<http://purl.obolibrary.org/obo/HP_0001696>	"Situs inversus totalis"	<http://purl.obolibrary.org/obo/MP_0002766>	"situs inversus"
<http://purl.obolibrary.org/obo/HP_0001543>	"Gastroschisis"	<http://purl.obolibrary.org/obo/HP_0010866>	"Abdominal wall defect"
<http://purl.obolibrary.org/obo/HP_0001539>	"Omphalocele"	<http://purl.obolibrary.org/obo/HP_0010866>	"Abdominal wall defect"
<http://purl.obolibrary.org/obo/HP_0004299>	"Hernia of the abdominal wall"	<http://purl.obolibrary.org/obo/HP_0010866>	"Abdominal wall defect"
<http://purl.obolibrary.org/obo/HP_0012804>	"Corneal ulceration"	<http://purl.obolibrary.org/obo/MP_0009825>	"cornea ulcer"
<http://purl.obolibrary.org/obo/HP_0000495>	"Recurrent corneal erosions"	<http://purl.obolibrary.org/obo/MP_0009825>	"cornea ulcer"
<http://purl.obolibrary.org/obo/HP_0000235>	"Abnormality of the fontanelles or cranial sutures"	<http://purl.obolibrary.org/obo/MP_0002835>	"abnormal cranial suture morphology"
<http://purl.obolibrary.org/obo/HP_0011329>	"Abnormality of cranial sutures"	<http://purl.obolibrary.org/obo/MP_0002835>	"abnormal cranial suture morphology"
<http://purl.obolibrary.org/obo/HP_0100796>	"Orchitis"	<http://purl.obolibrary.org/obo/MP_0001875>	"testis inflammation"
<http://purl.obolibrary.org/obo/HP_0004791>	"Esophageal ulceration"	<http://purl.obolibrary.org/obo/MP_0004547>	"esophageal ulcer"
<http://purl.obolibrary.org/obo/HP_0012535>	"Abnormal synaptic transmission"	<http://purl.obolibrary.org/obo/MP_0003635>	"abnormal synaptic transmission"
<http://purl.obolibrary.org/obo/HP_0001655>	"Patent foramen ovale"	<http://purl.obolibrary.org/obo/MP_0004225>	"patent foramen ovale"
<http://purl.obolibrary.org/obo/HP_0009635>	"Synostosis of thumb phalanx"	<http://purl.obolibrary.org/obo/HP_0009656>	"Symphalangism of the thumb"
<http://purl.obolibrary.org/obo/HP_0001274>	"Agenesis of corpus callosum"	<http://purl.obolibrary.org/obo/MP_0002196>	"absent corpus callosum"
<http://purl.obolibrary.org/obo/HP_0000029>	"Testicular atrophy"	<http://purl.obolibrary.org/obo/MP_0003205>	"testicular atrophy"
<http://purl.obolibrary.org/obo/HP_0009919>	"Retinoblastoma"	<http://purl.obolibrary.org/obo/MP_0006310>	"increased retinoblastoma incidence"
<http://purl.obolibrary.org/obo/HP_0002592>	"Gastric ulcer"	<http://purl.obolibrary.org/obo/MP_0003282>	"gastric ulcer"
<http://purl.obolibrary.org/obo/HP_0030191>	"Abnormal peripheral nervous system synaptic transmission"	<http://purl.obolibrary.org/obo/MP_0002913>	"abnormal PNS synaptic transmission"
<http://purl.obolibrary.org/obo/HP_0002557>	"Hypoplastic nipples"	<http://purl.obolibrary.org/obo/MP_0013713>	"decreased nipple size"
<http://purl.obolibrary.org/obo/HP_0003310>	"Abnormality of the odontoid process"	<http://purl.obolibrary.org/obo/MP_0004659>	"abnormal odontoid process morphology"
<http://purl.obolibrary.org/obo/HP_0002036>	"Hiatus hernia"	<http://purl.obolibrary.org/obo/MP_0003258>	"hiatal hernia"
<http://purl.obolibrary.org/obo/HP_0011116>	"Abnormality of interferon secretion"	<http://purl.obolibrary.org/obo/MP_0008555>	"abnormal interferon secretion"
<http://purl.obolibrary.org/obo/HP_0001871>	"Abnormality of blood and blood-forming tissues"	<http://purl.obolibrary.org/obo/MP_0002396>	"abnormal hematopoietic system morphology/development"
<http://purl.obolibrary.org/obo/HP_0030341>	"Decreased circulating follicle stimulating hormone level"	<http://purl.obolibrary.org/obo/MP_0002790>	"decreased circulating follicle stimulating hormone level"
<http://purl.obolibrary.org/obo/HP_0000975>	"Hyperhidrosis"	<http://purl.obolibrary.org/obo/MP_0013372>	"hyperhidrosis"
<http://purl.obolibrary.org/obo/HP_0000546>	"Retinal degeneration"	<http://purl.obolibrary.org/obo/MP_0001326>	"retinal degeneration"
<http://purl.obolibrary.org/obo/HP_0005415>	"Decreased number of CD8+ T cells"	<http://purl.obolibrary.org/obo/MP_0008079>	"decreased CD8-positive, alpha-beta T cell number"
<http://purl.obolibrary.org/obo/HP_0100026>	"Arteriovenous malformation"	<http://purl.obolibrary.org/obo/MP_0006093>	"arteriovenous malformation"
<http://purl.obolibrary.org/obo/HP_0004947>	"Arteriovenous fistula"	<http://purl.obolibrary.org/obo/MP_0006093>	"arteriovenous malformation"
<http://purl.obolibrary.org/obo/HP_0000622>	"Blurred vision"	<http://purl.obolibrary.org/obo/MP_0006149>	"decreased visual acuity"
<http://purl.obolibrary.org/obo/HP_0007663>	"Reduced visual acuity"	<http://purl.obolibrary.org/obo/MP_0006149>	"decreased visual acuity"
<http://purl.obolibrary.org/obo/HP_0001159>	"Syndactyly"	<http://purl.obolibrary.org/obo/MP_0000564>	"syndactyly"
<http://purl.obolibrary.org/obo/HP_0000692>	"Misalignment of teeth"	<http://purl.obolibrary.org/obo/MP_0000120>	"malocclusion"
<http://purl.obolibrary.org/obo/HP_0000689>	"Dental malocclusion"	<http://purl.obolibrary.org/obo/MP_0000120>	"malocclusion"
<http://purl.obolibrary.org/obo/HP_0012114>	"Endometrial carcinoma"	<http://purl.obolibrary.org/obo/MP_0004868>	"increased endometrial carcinoma incidence"
<http://purl.obolibrary.org/obo/HP_0002244>	"Abnormality of the small intestine"	<http://purl.obolibrary.org/obo/MP_0000496>	"abnormal small intestine morphology"
<http://purl.obolibrary.org/obo/HP_0001626>	"Abnormality of the cardiovascular system"	<http://purl.obolibrary.org/obo/HP_0030680>	"Abnormality of cardiovascular system morphology"
<http://purl.obolibrary.org/obo/HP_0002597>	"Abnormality of the vasculature"	<http://purl.obolibrary.org/obo/MP_0001614>	"abnormal blood vessel morphology"
<http://purl.obolibrary.org/obo/HP_0000938>	"Osteopenia"	<http://purl.obolibrary.org/obo/MP_0000063>	"decreased bone mineral density"
<http://purl.obolibrary.org/obo/HP_0004349>	"Reduced bone mineral density"	<http://purl.obolibrary.org/obo/MP_0000063>	"decreased bone mineral density"
<http://purl.obolibrary.org/obo/HP_0000833>	"Glucose intolerance"	<http://purl.obolibrary.org/obo/MP_0005291>	"abnormal glucose tolerance"
<http://purl.obolibrary.org/obo/HP_0001952>	"Abnormal glucose tolerance"	<http://purl.obolibrary.org/obo/MP_0005291>	"abnormal glucose tolerance"
<http://purl.obolibrary.org/obo/HP_0000649>	"Abnormality of visual evoked potentials"	<http://purl.obolibrary.org/obo/MP_0010748>	"abnormal visual evoked potential"
<http://purl.obolibrary.org/obo/HP_0100240>	"Synostosis of joints"	<http://purl.obolibrary.org/obo/MP_0003189>	"fused joints"
<http://purl.obolibrary.org/obo/HP_0011455>	"Absent malleus"	<http://purl.obolibrary.org/obo/MP_0004319>	"absent malleus"
<http://purl.obolibrary.org/obo/HP_0010826>	"Abnormality of the twelfth cranial nerve"	<http://purl.obolibrary.org/obo/MP_0001076>	"abnormal hypoglossal nerve morphology"
<http://purl.obolibrary.org/obo/HP_0000557>	"Buphthalmos"	<http://purl.obolibrary.org/obo/MP_0009274>	"buphthalmos"
<http://purl.obolibrary.org/obo/HP_0000969>	"Edema"	<http://purl.obolibrary.org/obo/MP_0001785>	"edema"
<http://purl.obolibrary.org/obo/HP_0000828>	"Abnormality of the parathyroid gland"	<http://purl.obolibrary.org/obo/HP_0011766>	"Abnormality of the parathyroid morphology"
<http://purl.obolibrary.org/obo/HP_0000110>	"Renal dysplasia"	<http://purl.obolibrary.org/obo/HP_0012210>	"Abnormal renal morphology"
<http://purl.obolibrary.org/obo/HP_0012873>	"Absent vas deferens"	<http://purl.obolibrary.org/obo/MP_0003557>	"absent vas deferens"
<http://purl.obolibrary.org/obo/HP_0012610>	"Abnormality of urinary uric acid concentration"	<http://purl.obolibrary.org/obo/MP_0009809>	"abnormal urine uric acid level"
<http://purl.obolibrary.org/obo/HP_0001662>	"Bradycardia"	<http://purl.obolibrary.org/obo/MP_0005333>	"decreased heart rate"
<http://purl.obolibrary.org/obo/HP_0008216>	"Adrenal gland dysgenesis"	<http://purl.obolibrary.org/obo/MP_0000639>	"abnormal adrenal gland morphology"
<http://purl.obolibrary.org/obo/HP_0011732>	"Abnormality of adrenal morphology"	<http://purl.obolibrary.org/obo/MP_0000639>	"abnormal adrenal gland morphology"
<http://purl.obolibrary.org/obo/HP_0012330>	"Pyelonephritis"	<http://purl.obolibrary.org/obo/MP_0011403>	"pyelonephritis"
<http://purl.obolibrary.org/obo/MP_0001967>	"deafness"	<http://purl.obolibrary.org/obo/MP_0006325>	"impaired hearing"
<http://purl.obolibrary.org/obo/HP_0000365>	"Hearing impairment"	<http://purl.obolibrary.org/obo/MP_0006325>	"impaired hearing"
<http://purl.obolibrary.org/obo/HP_0012047>	"Hemeralopia"	<http://purl.obolibrary.org/obo/MP_0008145>	"hemeralopia"
<http://purl.obolibrary.org/obo/HP_0001737>	"Pancreatic cysts"	<http://purl.obolibrary.org/obo/MP_0003336>	"pancreas cysts"
<http://purl.obolibrary.org/obo/HP_0008165>	"Reduced circulating T-helper cells"	<http://purl.obolibrary.org/obo/MP_0013764>	"decreased T-helper cell number"
<http://purl.obolibrary.org/obo/HP_0002153>	"Hyperkalemia"	<http://purl.obolibrary.org/obo/MP_0005627>	"increased circulating potassium level"
<http://purl.obolibrary.org/obo/HP_0040134>	"Abnormal hepatic iron concentration"	<http://purl.obolibrary.org/obo/MP_0008738>	"abnormal liver iron level"
<http://purl.obolibrary.org/obo/HP_0005972>	"Respiratory acidosis"	<http://purl.obolibrary.org/obo/MP_0012550>	"respiratory acidosis"
<http://purl.obolibrary.org/obo/HP_0000835>	"Adrenal hypoplasia"	<http://purl.obolibrary.org/obo/MP_0000640>	"adrenal gland hypoplasia"
<http://purl.obolibrary.org/obo/HP_0012068>	"Aspartylglucosaminuria"	<http://purl.obolibrary.org/obo/MP_0011516>	"aspartylglucosaminuria"
<http://purl.obolibrary.org/obo/HP_0002020>	"Gastroesophageal reflux"	<http://purl.obolibrary.org/obo/MP_0003286>	"gastroesophageal reflux"
<http://purl.obolibrary.org/obo/HP_0001644>	"Dilated cardiomyopathy"	<http://purl.obolibrary.org/obo/MP_0002795>	"dilated cardiomyopathy"
<http://purl.obolibrary.org/obo/HP_0002986>	"Radial bowing"	<http://purl.obolibrary.org/obo/MP_0004374>	"bowed radius"
<http://purl.obolibrary.org/obo/MP_0002731>	"megacolon"	<http://purl.obolibrary.org/obo/MP_0002926>	"aganglionic megacolon"
<http://purl.obolibrary.org/obo/HP_0002251>	"Aganglionic megacolon"	<http://purl.obolibrary.org/obo/MP_0002926>	"aganglionic megacolon"
<http://purl.obolibrary.org/obo/HP_0003173>	"Hypoplastic pubic bone"	<http://purl.obolibrary.org/obo/MP_0004693>	"pubis hypoplasia"
<http://purl.obolibrary.org/obo/HP_0007734>	"Enlarged lacrimal glands"	<http://purl.obolibrary.org/obo/MP_0013453>	"enlarged lacrimal gland"
<http://purl.obolibrary.org/obo/HP_0011893>	"Abnormal leukocyte count"	<http://purl.obolibrary.org/obo/MP_0000217>	"abnormal leukocyte cell number"
<http://purl.obolibrary.org/obo/HP_0000073>	"Ureteral duplication"	<http://purl.obolibrary.org/obo/HP_0012572>	"Ureter duplex"
<http://purl.obolibrary.org/obo/HP_0000081>	"Duplicated collecting system"	<http://purl.obolibrary.org/obo/HP_0012572>	"Ureter duplex"
<http://purl.obolibrary.org/obo/HP_0001961>	"Hypoplastic heart"	<http://purl.obolibrary.org/obo/MP_0002740>	"heart hypoplasia"
<http://purl.obolibrary.org/obo/HP_0100522>	"Thymoma"	<http://purl.obolibrary.org/obo/MP_0002024>	"increased T cell derived lymphoma incidence"
<http://purl.obolibrary.org/obo/HP_0012243>	"Abnormal genital system morphology"	<http://purl.obolibrary.org/obo/MP_0002160>	"abnormal reproductive system morphology"
<http://purl.obolibrary.org/obo/HP_0000078>	"Abnormality of the genital system"	<http://purl.obolibrary.org/obo/MP_0002160>	"abnormal reproductive system morphology"
<http://purl.obolibrary.org/obo/HP_0007872>	"Choroidal hemangioma"	<http://purl.obolibrary.org/obo/MP_0006180>	"increased choroid hemangioma incidence"
<http://purl.obolibrary.org/obo/HP_0000407>	"Sensorineural hearing impairment"	<http://purl.obolibrary.org/obo/MP_0004740>	"sensorineural hearing loss"
<http://purl.obolibrary.org/obo/HP_0007862>	"Retinal calcification"	<http://purl.obolibrary.org/obo/MP_0006188>	"calcified retina"
<http://purl.obolibrary.org/obo/HP_0003330>	"Abnormal bone structure"	<http://purl.obolibrary.org/obo/MP_0003795>	"abnormal bone structure"
<http://purl.obolibrary.org/obo/HP_0000013>	"Hypoplasia of the uterus"	<http://purl.obolibrary.org/obo/MP_0001121>	"uterus hypoplasia"
<http://purl.obolibrary.org/obo/HP_0012440>	"Abnormal biliary tract morphology"	<http://purl.obolibrary.org/obo/MP_0005083>	"abnormal biliary tract morphology"
<http://purl.obolibrary.org/obo/HP_0100723>	"Gastrointestinal stroma tumor"	<http://purl.obolibrary.org/obo/MP_0009515>	"increased gastrointestinal stromal tumor incidence"
<http://purl.obolibrary.org/obo/HP_0001683>	"Ectopia cordis"	<http://purl.obolibrary.org/obo/MP_0011660>	"ectopia cordis"
<http://purl.obolibrary.org/obo/HP_0012072>	"Aciduria"	<http://purl.obolibrary.org/obo/MP_0010028>	"aciduria"
<http://purl.obolibrary.org/obo/HP_0011483>	"Anterior synechiae of the anterior chamber"	<http://purl.obolibrary.org/obo/MP_0011481>	"anterior iris synechia"
<http://purl.obolibrary.org/obo/HP_0002561>	"Absent nipple"	<http://purl.obolibrary.org/obo/MP_0009733>	"absent nipple"
<http://purl.obolibrary.org/obo/HP_0008419>	"Intervertebral disc degeneration"	<http://purl.obolibrary.org/obo/MP_0004684>	"intervertebral disk degeneration"
<http://purl.obolibrary.org/obo/HP_0001629>	"Ventricular septal defect"	<http://purl.obolibrary.org/obo/MP_0010402>	"ventricular septal defect"
<http://purl.obolibrary.org/obo/HP_0008239>	"Adrenal medullary hypoplasia"	<http://purl.obolibrary.org/obo/MP_0008301>	"adrenal medulla hyperplasia"
<http://purl.obolibrary.org/obo/HP_0003100>	"Slender long bone"	<http://purl.obolibrary.org/obo/MP_0008150>	"decreased diameter of long bones"
<http://purl.obolibrary.org/obo/HP_0000141>	"Amenorrhea"	<http://purl.obolibrary.org/obo/MP_0003376>	"amenorrhea"
<http://purl.obolibrary.org/obo/HP_0100737>	"Abnormality of the hard palate"	<http://purl.obolibrary.org/obo/MP_0003756>	"abnormal hard palate morphology"
<http://purl.obolibrary.org/obo/HP_0010299>	"Abnormality of dentin"	<http://purl.obolibrary.org/obo/MP_0002818>	"abnormal dentin morphology"
<http://purl.obolibrary.org/obo/HP_0000902>	"Rib fusion"	<http://purl.obolibrary.org/obo/MP_0000154>	"rib fusion"
<http://purl.obolibrary.org/obo/HP_0001789>	"Hydrops fetalis"	<http://purl.obolibrary.org/obo/MP_0002192>	"hydrops fetalis"
<http://purl.obolibrary.org/obo/HP_0100678>	"Premature skin wrinkling"	<http://purl.obolibrary.org/obo/MP_0001211>	"wrinkled skin"
<http://purl.obolibrary.org/obo/HP_0012471>	"Thick vermilion border"	<http://purl.obolibrary.org/obo/MP_0003774>	"fleshy lip"
<http://purl.obolibrary.org/obo/HP_0002475>	"Myelomeningocele"	<http://purl.obolibrary.org/obo/MP_0012547>	"spina bifida cystica"
<http://purl.obolibrary.org/obo/MP_0009929>	"meningomyelocele"	<http://purl.obolibrary.org/obo/MP_0012547>	"spina bifida cystica"
<http://purl.obolibrary.org/obo/MP_0012259>	"meningocele"	<http://purl.obolibrary.org/obo/MP_0012547>	"spina bifida cystica"
<http://purl.obolibrary.org/obo/HP_0002435>	"Meningocele"	<http://purl.obolibrary.org/obo/MP_0012547>	"spina bifida cystica"
<http://purl.obolibrary.org/obo/HP_0002732>	"Lymph node hypoplasia"	<http://purl.obolibrary.org/obo/MP_0008101>	"lymph node hypoplasia"
<http://purl.obolibrary.org/obo/HP_0000833>	"Glucose intolerance"	<http://purl.obolibrary.org/obo/HP_0001952>	"Abnormal glucose tolerance"
<http://purl.obolibrary.org/obo/HP_0002576>	"Intussusception"	<http://purl.obolibrary.org/obo/MP_0003294>	"intussusception"
<http://purl.obolibrary.org/obo/HP_0011990>	"Abnormality of neutrophil physiology"	<http://purl.obolibrary.org/obo/MP_0002463>	"abnormal neutrophil physiology"
<http://purl.obolibrary.org/obo/HP_0011017>	"Abnormality of cell physiology"	<http://purl.obolibrary.org/obo/MP_0005621>	"abnormal cell physiology"
<http://purl.obolibrary.org/obo/HP_0001724>	"Aortic dilatation"	<http://purl.obolibrary.org/obo/MP_0010574>	"aorta dilation"
<http://purl.obolibrary.org/obo/HP_0011028>	"Abnormality of blood circulation"	<http://purl.obolibrary.org/obo/MP_0002128>	"abnormal blood circulation"
<http://purl.obolibrary.org/obo/HP_0008232>	"Elevated follicle stimulating hormone"	<http://purl.obolibrary.org/obo/MP_0001750>	"increased circulating follicle stimulating hormone level"
<http://purl.obolibrary.org/obo/HP_0001663>	"Ventricular fibrillation"	<http://purl.obolibrary.org/obo/MP_0006110>	"ventricular fibrillation"
<http://purl.obolibrary.org/obo/HP_0000894>	"Short clavicles"	<http://purl.obolibrary.org/obo/MP_0004337>	"clavicle hypoplasia"
<http://purl.obolibrary.org/obo/HP_0002093>	"Respiratory insufficiency"	<http://purl.obolibrary.org/obo/HP_0002878>	"Respiratory failure"
<http://purl.obolibrary.org/obo/HP_0000798>	"Oligospermia"	<http://purl.obolibrary.org/obo/MP_0002687>	"oligozoospermia"
<http://purl.obolibrary.org/obo/HP_0010442>	"Polydactyly"	<http://purl.obolibrary.org/obo/MP_0000562>	"polydactyly"
<http://purl.obolibrary.org/obo/HP_0012373>	"Abnormal eye physiology"	<http://purl.obolibrary.org/obo/MP_0005253>	"abnormal eye physiology"
<http://purl.obolibrary.org/obo/HP_0012050>	"Anasarca"	<http://purl.obolibrary.org/obo/MP_0011738>	"anasarca"
<http://purl.obolibrary.org/obo/HP_0040085>	"Abnormal circulating aldosterone"	<http://purl.obolibrary.org/obo/MP_0005346>	"abnormal circulating aldosterone level"
<http://purl.obolibrary.org/obo/HP_0008669>	"Abnormal spermatogenesis"	<http://purl.obolibrary.org/obo/MP_0001156>	"abnormal spermatogenesis"
<http://purl.obolibrary.org/obo/HP_0000789>	"Infertility"	<http://purl.obolibrary.org/obo/MP_0001924>	"infertility"
<http://purl.obolibrary.org/obo/HP_0002179>	"Opisthotonus"	<http://purl.obolibrary.org/obo/MP_0002880>	"opisthotonus"
<http://purl.obolibrary.org/obo/HP_0003254>	"Abnormality of DNA repair"	<http://purl.obolibrary.org/obo/MP_0008058>	"abnormal DNA repair"
<http://purl.obolibrary.org/obo/MP_0002432>	"abnormal CD4-positive, alpha beta T cell morphology"	<http://purl.obolibrary.org/obo/MP_0008073>	"abnormal CD4-positive, alpha beta T cell number"
<http://purl.obolibrary.org/obo/HP_0005407>	"Decreased number of CD4+ T cells"	<http://purl.obolibrary.org/obo/MP_0008073>	"abnormal CD4-positive, alpha beta T cell number"
<http://purl.obolibrary.org/obo/MP_0001943>	"abnormal respiration"	<http://purl.obolibrary.org/obo/MP_0002133>	"abnormal respiratory system physiology"
<http://purl.obolibrary.org/obo/HP_0002795>	"Functional respiratory abnormality"	<http://purl.obolibrary.org/obo/MP_0002133>	"abnormal respiratory system physiology"
<http://purl.obolibrary.org/obo/HP_0003712>	"Skeletal muscle hypertrophy"	<http://purl.obolibrary.org/obo/MP_0009461>	"skeletal muscle hypertrophy"
<http://purl.obolibrary.org/obo/HP_0002013>	"Vomiting"	<http://purl.obolibrary.org/obo/MP_0003260>	"vomiting"
<http://purl.obolibrary.org/obo/HP_0004370>	"Abnormality of temperature regulation"	<http://purl.obolibrary.org/obo/MP_0001777>	"abnormal body temperature homeostasis"
<http://purl.obolibrary.org/obo/HP_0000776>	"Congenital diaphragmatic hernia"	<http://purl.obolibrary.org/obo/MP_0003924>	"diaphragmatic hernia"
<http://purl.obolibrary.org/obo/HP_0001012>	"Multiple lipomas"	<http://purl.obolibrary.org/obo/MP_0010343>	"increased lipoma incidence"
<http://purl.obolibrary.org/obo/HP_0006690>	"Myocardial calcification"	<http://purl.obolibrary.org/obo/MP_0010534>	"calcified myocardium"
<http://purl.obolibrary.org/obo/HP_0007656>	"Lacrimal gland aplasia"	<http://purl.obolibrary.org/obo/MP_0001347>	"absent lacrimal glands"
<http://purl.obolibrary.org/obo/HP_0005133>	"Right ventricular dilatation"	<http://purl.obolibrary.org/obo/MP_0002754>	"dilated heart right ventricle"
<http://purl.obolibrary.org/obo/HP_0012680>	"Abnormality of the pineal gland"	<http://purl.obolibrary.org/obo/HP_0012681>	"Abnormality of pineal morphology"
<http://purl.obolibrary.org/obo/HP_0011722>	"Mixed total anomalous pulmonary venous connection"	<http://purl.obolibrary.org/obo/MP_0010445>	"total anomalous pulmonary venous connection, mixed"
<http://purl.obolibrary.org/obo/HP_0040077>	"Abnormal concentration of calcium in blood"	<http://purl.obolibrary.org/obo/MP_0001562>	"abnormal circulating calcium level"
<http://purl.obolibrary.org/obo/HP_0011105>	"Hypervolemia"	<http://purl.obolibrary.org/obo/MP_0010127>	"hypervolemia"
<http://purl.obolibrary.org/obo/HP_0012107>	"Increased fibular diameter"	<http://purl.obolibrary.org/obo/MP_0008159>	"increased diameter of fibula"
<http://purl.obolibrary.org/obo/HP_0002937>	"Hemivertebrae"	<http://purl.obolibrary.org/obo/MP_0008832>	"hemivertebra"
<http://purl.obolibrary.org/obo/HP_0001970>	"Tubulointerstitial nephritis"	<http://purl.obolibrary.org/obo/MP_0011405>	"tubulointerstitial nephritis"
<http://purl.obolibrary.org/obo/HP_0100244>	"Fibrosarcoma"	<http://purl.obolibrary.org/obo/MP_0010363>	"increased fibrosarcoma incidence"
<http://purl.obolibrary.org/obo/HP_0012795>	"Abnormality of the optic disc"	<http://purl.obolibrary.org/obo/MP_0008259>	"abnormal optic disc morphology"
<http://purl.obolibrary.org/obo/HP_0000053>	"Macroorchidism"	<http://purl.obolibrary.org/obo/MP_0001148>	"enlarged testis"
<http://purl.obolibrary.org/obo/HP_0010783>	"Erythema"	<http://purl.obolibrary.org/obo/MP_0001190>	"reddish skin"
<http://purl.obolibrary.org/obo/HP_0001627>	"Abnormal heart morphology"	<http://purl.obolibrary.org/obo/MP_0000266>	"abnormal heart morphology"
<http://purl.obolibrary.org/obo/HP_3000001>	"obsolete Abnormal heart morphology"	<http://purl.obolibrary.org/obo/MP_0000266>	"abnormal heart morphology"
<http://purl.obolibrary.org/obo/HP_0001935>	"Microcytic anemia"	<http://purl.obolibrary.org/obo/MP_0002810>	"microcytic anemia"
<http://purl.obolibrary.org/obo/HP_0000072>	"Hydroureter"	<http://purl.obolibrary.org/obo/MP_0000536>	"hydroureter"
<http://purl.obolibrary.org/obo/HP_0002383>	"Encephalitis"	<http://purl.obolibrary.org/obo/MP_0001847>	"brain inflammation"
<http://purl.obolibrary.org/obo/HP_0004388>	"Microcolon"	<http://purl.obolibrary.org/obo/MP_0003296>	"microcolon"
<http://purl.obolibrary.org/obo/HP_0000601>	"Hypotelorism"	<http://purl.obolibrary.org/obo/MP_0006197>	"ocular hypotelorism"
<http://purl.obolibrary.org/obo/HP_0005466>	"Hypoplasia of the frontal bone"	<http://purl.obolibrary.org/obo/MP_0004869>	"frontal bone hypoplasia"
<http://purl.obolibrary.org/obo/HP_0001272>	"Cerebellar atrophy"	<http://purl.obolibrary.org/obo/MP_0014185>	"cerebellum atrophy"
<http://purl.obolibrary.org/obo/HP_0002107>	"Pneumothorax"	<http://purl.obolibrary.org/obo/MP_0010822>	"pneumothorax"
<http://purl.obolibrary.org/obo/HP_0000431>	"Wide nasal bridge"	<http://purl.obolibrary.org/obo/MP_0000449>	"broad nasal bridge"
<http://purl.obolibrary.org/obo/HP_0000842>	"Hyperinsulinemia"	<http://purl.obolibrary.org/obo/MP_0002079>	"increased circulating insulin level"
